category,lat,lon,x_m_from_SW,y_m_from_SW,depth_m,weed_m,fish_rate,n_pings,dist_from_swim_m,bearing_from_swim
gold,51.745184946695964,-1.4346947612215517,48.0,74.0,1.0271923076923077,0.017209637396942288,0.11538461538461539,26.0,36.58605236829497,269.0540302765909
gold,51.74514891065993,-1.4342873528329807,76.0,70.0,0.950376923076923,0.04535873422449905,0.11538461538461539,130.0,9.738156001042913,241.78500657984029
gold,51.745166928677946,-1.4345492582256336,58.0,72.0,0.9871111111111112,0.0436466643542606,0.1111111111111111,18.0,26.70831299516924,264.4048625793364
gold,51.74487864038966,-1.4340836486386952,90.0,40.0,1.5321388888888887,0.004721162369445408,0.1111111111111111,36.0,35.02574709949964,171.0998557140793
gold,51.745076838587856,-1.4340836486386952,90.0,62.0,1.0723333333333334,0.02126128903791061,0.1111111111111111,27.0,13.719553002321426,156.73534164411814
gold,51.745094856605874,-1.4350439684117555,24.0,64.0,1.382642857142857,0.03710172934938804,0.10714285714285714,28.0,61.50212005068018,260.0716143175349
gold,51.74514891065993,-1.4340254474403278,94.0,70.0,0.9322134831460674,0.034082007272387145,0.10674157303370786,178.0,10.483954717881433,116.04959979357129
gold,51.74514891065993,-1.43484026421747,38.0,70.0,0.9427931034482759,0.04868013443850395,0.10344827586206896,29.0,46.808040952636155,264.35528498839795
gold,51.74514891065993,-1.4346365600231845,52.0,70.0,1.010103448275862,0.007714665040008611,0.10344827586206896,29.0,32.90475421575725,261.956808396582
gold,51.74513089264191,-1.434170950436246,84.0,68.0,1.03164406779661,0.03956565959423152,0.1016949152542373,59.0,6.6295325195557995,185.0283189231387
gold,51.74478855029957,-1.434170950436246,84.0,30.0,1.402,0.0030176899063475543,0.1,50.0,44.60780343097723,180.74636202822344
silver,51.74475251426353,-1.4348984654158372,34.0,26.0,1.3761923076923077,0.06536994050001334,0.8076923076923077,26.0,70.14837757469986,226.14192032071577
silver,51.74495071246173,-1.4352767732052247,8.0,48.0,1.1771851851851851,0.10425097313754961,0.7037037037037037,27.0,81.07054633306535,250.84293565364356
silver,51.74514891065993,-1.4345492582256336,58.0,70.0,0.9406296296296296,0.11311519636181447,0.4074074074074074,27.0,26.976842996813172,260.17348004062205
silver,51.74486062237164,-1.434345554031348,72.0,38.0,1.3467333333333333,0.1387443635102324,0.4,30.0,38.705780068084785,198.96821634457547
silver,51.744914676425694,-1.4351894714076738,14.0,44.0,1.361448275862069,0.09837693016135013,0.3448275862068966,29.0,76.93044157464959,246.55839819615585
silver,51.745094856605874,-1.4351312702093064,18.0,64.0,1.3097241379310345,0.09981221668042149,0.3103448275862069,29.0,67.42020144328377,260.9508013642007
silver,51.74514891065993,-1.4343746546305316,70.0,70.0,0.9320869565217391,0.06054984994495468,0.30434782608695654,46.0,15.290666245305818,252.4763196903869
silver,51.74486062237164,-1.435102169610123,20.0,38.0,1.3513793103448275,0.0897054074419606,0.27586206896551724,29.0,74.23320196533511,240.45579099770157
silver,51.74475251426353,-1.434927566015021,32.0,26.0,1.5341923076923079,0.057165345927052476,0.2692307692307692,26.0,71.60390450483514,227.25083360443733
silver,51.74475251426353,-1.43484026421747,38.0,26.0,1.465851851851852,0.09750645546691332,0.2222222222222222,27.0,67.32121766882165,223.78248562277446
silver,51.74514891065993,-1.434112749237879,88.0,70.0,0.9562222222222222,0.07829146226648828,0.20634920634920634,126.0,5.734640219863399,143.40250319621018
silver,51.74495071246173,-1.4345492582256336,58.0,48.0,1.3149000000000002,0.08188807954676841,0.2,60.0,37.60753758715543,224.97527321107106
silver,51.745184946695964,-1.43484026421747,38.0,74.0,0.793125,0.05723204994797086,0.1875,16.0,46.58498199817297,269.2570847131513
silver,51.74493269444371,-1.4344910570272662,62.0,46.0,1.3396867469879519,0.11516409028413341,0.18072289156626506,166.0,36.44302992955305,218.2888624674164
silver,51.74513089264191,-1.4339963468411443,96.0,68.0,1.041,0.07264809033799668,0.16666666666666666,18.0,13.191099938158102,120.0424839844741
silver,51.7450227845338,-1.4344619564280825,64.0,56.0,1.2161111111111111,0.14703048521987128,0.16666666666666666,18.0,27.743283715838224,227.8883563853356
silver,51.74514891065993,-1.4340545480395115,92.0,70.0,0.9209148936170213,0.10698076028959194,0.16595744680851063,235.0,8.731412858265488,121.82278092670734
silver,51.74514891065993,-1.434258252233797,78.0,70.0,0.9186084656084655,0.08774296321989697,0.164021164021164,189.0,8.031651033613985,235.02391948536604
silver,51.745094856605874,-1.435102169610123,20.0,64.0,1.3453846153846152,0.06356893193521705,0.15384615384615385,26.0,65.44585012571896,260.67540853464175
silver,51.745166928677946,-1.434258252233797,78.0,72.0,0.73868,0.0813735691987513,0.14,50.0,7.077523811261303,248.4121153863979
silver,51.744896658407676,-1.4344619564280825,64.0,42.0,1.412079365079365,0.06766540585479192,0.12698412698412698,63.0,38.55648215961834,212.2618917801197
silver,51.745004766515784,-1.4344619564280825,64.0,54.0,1.274,0.054197016996184524,0.125,8.0,29.122257233330597,224.96806862682806
silver,51.744896658407676,-1.4342000510354298,82.0,42.0,1.2022242990654206,0.1320178552325751,0.12149532710280374,107.0,32.70602300419462,184.52632597919808
silver,51.74486062237164,-1.4347529624199191,44.0,38.0,1.47864,0.0509885535900104,0.12,25.0,54.65049959815085,227.94962018010838
silver,51.744986748497766,-1.43452015762645,60.0,52.0,1.2964202898550725,0.1478683135019379,0.11594202898550725,69.0,33.39416819357609,227.3992802742199
bronze,51.74514891065993,-1.4346074594240008,54.0,70.0,0.9828709677419355,0.02355297461201929,0.0967741935483871,31.0,30.92569459243396,261.43834568684963
